mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
683146,Brett Baty,New York Mets,L,2B/3B/OF,FA,7,21.5,1.146,0.941,2.85,0.43192307692307697,52.0,201
663968,Jake Mangum,Pittsburgh Pirates,S,OF,FA,6,21.5,1.031,0.978,3.56,0.24064935064935067,78.0,202
682987,Spencer Jones,New York Yankees,L,OF,BB,6,21.4,0.999,0.999,3.58,0.4002020202020202,100.0,203
683766,Christian Koss,San Francisco Giants,R,3B/SS,FA,6,21.4,1.102,0.936,3.47,0.3364285714285714,102.0,204
687597,Jordan Beck,Colorado Rockies,R,OF,FA,7,21.4,1.176,0.94,2.77,0.2225,48.0,205
607043,Brandon Nimmo,Texas Rangers,L,OF,Dan,6,21.4,0.856,0.973,4.29,0.25954954954954956,112.0,206
666139,Josh Lowe,Los Angeles Angels,L,OF,FA,7,21.4,1.088,0.955,2.94,0.3404477611940298,67.0,207
673962,Josh Jung,Texas Rangers,R,3B,MMM,6,21.4,0.855,0.964,4.32,0.27076923076923076,13.0,208
676439,Hunter Feduccia,Los Angeles Dodgers,L,C,FA,7,21.3,1.109,0.955,2.87,0.3038,51.0,209
687637,Dylan Beavers,Baltimore Orioles,L,OF,FA,6,21.3,1.068,0.963,3.45,0.34021505376344086,94.0,210
682928,CJ Abrams,Washington Nationals,L,SS,BAMBI,5,21.3,0.949,1.028,4.37,0.23827586206896553,88.0,211
699013,Esmerlyn Valdez,Pittsburgh Pirates,R,OF,LTTA,6,21.2,0.894,0.979,4.03,0.2586153846153846,65.0,212
695491,Joshua Báez,St. Louis Cardinals,R,OF,BAMBI,6,21.1,0.976,0.982,3.67,0.31357894736842107,95.0,213
668885,Austin Martin,Minnesota Twins,R,OF,FA,7,21.1,1.004,0.963,3.12,0.141,10.0,214
664770,Nathan Lukes,Toronto Blue Jays,L,OF,FA,6,21.0,0.999,0.942,3.72,0.3513829787234043,94.0,215
663457,Lars Nootbaar,Arizona Diamondbacks,L,OF,FA,6,21.0,1.1,0.964,3.31,0.39999999999999997,73.0,216
