gamePk,date,gameDate,status,venue_id,venue,dayNight,doubleHeader,team_id,team,home,opp_id,opp,sp_id,sp_name,sp_source,opp_sp_id,opp_sp_name,opp_sp_source
823005,2026-09-18,2026-09-19T00:15:00Z,Scheduled,2889,Busch Stadium,night,N,138,St. Louis Cardinals,True,120,Washington Nationals,681517.0,Kyle Leahy,listed,674841.0,Andrew Alvarez,projected
823005,2026-09-18,2026-09-19T00:15:00Z,Scheduled,2889,Busch Stadium,night,N,120,Washington Nationals,False,138,St. Louis Cardinals,674841.0,Andrew Alvarez,projected,681517.0,Kyle Leahy,listed
823977,2026-09-18,2026-09-19T01:38:00Z,Scheduled,1,Angel Stadium,night,N,108,Los Angeles Angels,True,142,Minnesota Twins,700712.0,Walbert Ureña,projected,687570.0,Connor Prielipp,projected
823977,2026-09-18,2026-09-19T01:38:00Z,Scheduled,1,Angel Stadium,night,N,142,Minnesota Twins,False,108,Los Angeles Angels,687570.0,Connor Prielipp,projected,700712.0,Walbert Ureña,projected
823252,2026-09-18,2026-09-19T01:40:00Z,Scheduled,2680,Petco Park,night,N,135,San Diego Padres,True,146,Miami Marlins,,,,663969.0,Tyler Phillips,projected
823252,2026-09-18,2026-09-19T01:40:00Z,Scheduled,2680,Petco Park,night,N,146,Miami Marlins,False,135,San Diego Padres,663969.0,Tyler Phillips,projected,,,
825032,2026-09-18,2026-09-19T01:40:00Z,Scheduled,15,Chase Field,night,N,109,Arizona Diamondbacks,True,147,New York Yankees,694297.0,Brandon Pfaadt,projected,543037.0,Gerrit Cole,projected
825032,2026-09-18,2026-09-19T01:40:00Z,Scheduled,15,Chase Field,night,N,147,New York Yankees,False,109,Arizona Diamondbacks,543037.0,Gerrit Cole,projected,694297.0,Brandon Pfaadt,projected
823898,2026-09-18,2026-09-19T02:15:00Z,Scheduled,22,UNIQLO Field at Dodger Stadium,night,N,119,Los Angeles Dodgers,True,137,San Francisco Giants,607192.0,Tyler Glasnow,projected,683627.0,Anthony Molina,projected
823898,2026-09-18,2026-09-19T02:15:00Z,Scheduled,22,UNIQLO Field at Dodger Stadium,night,N,137,San Francisco Giants,False,119,Los Angeles Dodgers,683627.0,Anthony Molina,projected,607192.0,Tyler Glasnow,projected
824788,2026-09-19,2026-09-19T20:05:00Z,Scheduled,2,Oriole Park at Camden Yards,day,N,110,Baltimore Orioles,True,158,Milwaukee Brewers,669432.0,Trevor Rogers,projected,688107.0,Robert Gasser,projected
824788,2026-09-19,2026-09-19T20:05:00Z,Scheduled,2,Oriole Park at Camden Yards,day,N,158,Milwaukee Brewers,False,110,Baltimore Orioles,688107.0,Robert Gasser,projected,669432.0,Trevor Rogers,projected
822921,2026-09-19,2026-09-19T20:10:00Z,Scheduled,12,Tropicana Field,day,N,139,Tampa Bay Rays,True,111,Boston Red Sox,642547.0,Freddy Peralta,projected,801139.0,Payton Tolle,projected
822921,2026-09-19,2026-09-19T20:10:00Z,Scheduled,12,Tropicana Field,day,N,111,Boston Red Sox,False,139,Tampa Bay Rays,801139.0,Payton Tolle,projected,642547.0,Freddy Peralta,projected
823571,2026-09-19,2026-09-19T20:10:00Z,Scheduled,3289,Citi Field,day,N,121,New York Mets,True,143,Philadelphia Phillies,681035.0,Christian Scott,projected,691725.0,Andrew Painter,projected
